Unnamed: 0,year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity,acres_unharvested,yields_tons_per_acre,price_per_ton,tons_never_harvested,not_marketable,inedible,bad_weather,pests_disease,market_dynamics,other
2232,2016,maryland,apples,produce,apples,1800.0,1800.0,10615000.0,20300.0,0.5,0.0,11.277777777777779,522.9064039408867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2233,2016,massachusetts,apples,produce,apples,3100.0,3100.0,13483000.0,15500.0,0.5,0.0,5.0,869.8709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2234,2016,michigan,apples,produce,apples,33000.0,33000.0,325195000.0,637500.0,0.5,0.0,19.318181818181817,510.10980392156864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2235,2016,minnesota,apples,produce,apples,2900.0,2900.0,17052000.0,10750.0,0.5,0.0,3.706896551724138,1586.2325581395348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2236,2016,new jersey,apples,produce,apples,2200.0,2200.0,33590000.0,15950.0,0.5,0.0,7.25,2105.956112852665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2237,2016,new york,apples,produce,apples,43000.0,43000.0,345935000.0,625000.0,0.5,0.0,14.534883720930232,553.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2238,2016,north carolina,apples,produce,apples,5600.0,5600.0,26906000.0,57000.0,0.5,0.0,10.178571428571429,472.03508771929825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2239,2016,ohio,apples,produce,apples,4000.0,4000.0,21656000.0,20950.0,0.5,0.0,5.2375,1033.6992840095465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2240,2016,oregon,apples,produce,apples,5000.0,5000.0,59779000.0,97700.0,0.5,0.0,19.54,611.8628454452405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2241,2016,pennsylvania,apples,produce,apples,20000.0,20000.0,89203000.0,233500.0,0.5,0.0,11.675,382.0256959314775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2242,2016,vermont,apples,produce,apples,1900.0,1900.0,20419000.0,15000.0,0.5,0.0,7.894736842105263,1361.2666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2243,2016,virginia,apples,produce,apples,10300.0,10300.0,35854000.0,90000.0,0.5,0.0,8.737864077669903,398.3777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2244,2016,washington,apples,produce,apples,165000.0,165000.0,2350703000.0,3660000.0,0.5,0.0,22.181818181818183,642.2685792349727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2245,2016,west virginia,apples,produce,apples,4600.0,4600.0,14742000.0,40000.0,0.5,0.0,8.695652173913043,368.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2246,2016,wisconsin,apples,produce,apples,4000.0,4000.0,21819000.0,20500.0,0.5,0.0,5.125,1064.341463414634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2247,2016,california,apricots,produce,apricots,10000.0,10000.0,48929000.0,56000.0,0.5,0.0,5.6,873.7321428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2248,2016,washington,apricots,produce,apricots,1000.0,1000.0,8473000.0,8050.0,0.5,0.0,8.05,1052.5465838509317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2249,2016,california,artichokes,produce,artichokes,6800.0,6800.0,77697000.0,49300.0,0.5,0.0,7.25,1576.0040567951319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2250,2016,california,asparagus,produce,asparagus,9400.0,9000.0,30456000.0,10800.0,0.5,400.0,1.2,2820.0,240.0,67.2,67.2,10.08,0.1512,0.0312,95.3376
2251,2016,michigan,asparagus,produce,asparagus,11400.0,10400.0,22801000.0,13000.0,0.5,1000.0,1.25,1753.923076923077,625.0,175.00000000000003,175.00000000000003,26.25,0.39375,0.08124999999999999,248.27499999999998
2252,2016,new jersey,asparagus,produce,asparagus,2200.0,2100.0,14330000.0,4200.0,0.5,100.0,2.0,3411.904761904762,100.0,28.000000000000004,28.000000000000004,4.2,0.063,0.013,39.724
2253,2016,washington,asparagus,produce,asparagus,4600.0,4400.0,24102000.0,13640.0,0.5,200.0,3.1,1767.008797653959,310.0,86.80000000000001,86.80000000000001,13.020000000000001,0.1953,0.040299999999999996,123.14439999999999
2254,2016,california,avocados,produce,avocados,50900.0,50900.0,351240000.0,113000.0,0.5,0.0,2.2200392927308448,3108.3185840707965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2255,2016,florida,avocados,produce,avocados,6000.0,6000.0,19080000.0,24100.0,0.5,0.0,4.016666666666667,791.701244813278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2256,2016,hawaii,avocados,produce,avocados,800.0,800.0,1934000.0,950.0,0.5,0.0,1.1875,2035.7894736842106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
